StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,a8e1fa3c303b62aa7726cd86,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,9,9,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,a9380a59eae2b8756ef2ebaa,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,5,5,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,aa05eab67329244350a47266,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ab515ec62a26b795637b1b95,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,aba0cf81aa6618695ae5771b,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ac0976106dd13f30947fcfe9,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ac0c3f06587fa95d3ca6e03a,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,3,3,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,adcf11d4dc0bae216ebcefbf,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,16,16,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,b57ffd69bb4bc51c6d340de9,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,b6b582da51ced68d7e69bed0,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,b7b7e556f842d6953f79e796,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,b9c3c6077bfb6fb6a8b2021c,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,9,9,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,c0ee1adcb346eaf3c7e53024,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,c1c545731c524bd7f23c49fb,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,c3eed66a7fa6c67beef867a1,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,c47506b520c5969be32172e3,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,6,6,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ca17143c19bbfd02c37a7bc5,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,cad8297b8e98b2bda7144015,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,cdd9e320ed5efa3409afe54a,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,54,54,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ce303f436ce0fea8f1104128,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,ce59a92a83d5dc5da249c770,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
